MSU	Symbol	Keyword
LOC_Os01g20160	OsHK1;5|OsHKT1;5|OsHKT8|SKC1	development; growth; homeostasis; leaf; phloem; plasma membrane; reproductive; salinity; salinity stress; salt; salt stress; salt tolerance; shoot; stress; tolerance; transporter; vascular bundle; xylem
LOC_Os01g21034	PME42	flower
LOC_Os01g21250	OsLEA9	cold; cold tolerance; reproductive; tolerance
LOC_Os01g21990	OsCAF2	chloroplast; chloroplast development; development
LOC_Os01g23620	OsSar1a	endosperm; seed
LOC_Os01g24060	OsIMalpha1b	defense response; disease resistance
LOC_Os01g24070	OsGATA8	abiotic stress; biotic stress; development; reactive oxygen species; seed; seed development; seed size; stress; stress tolerance; tolerance; transcription factor
LOC_Os01g24460	OsNF-YC10	R protein; cell cycle; cell proliferation; endosperm; grain; grain size; grain width; spikelet
LOC_Os01g24710	OsMBL1|OsSalT	brassinosteroid; defense; ethylene; potassium; reactive oxygen species; resistance; root; salt; salt stress; seedling; sheath
LOC_Os01g24880	IPI1	architecture; breeding; plant architecture; shoot; yield
LOC_Os01g25100	OsGST4	growth; oxidative; oxidative stress; salinity
LOC_Os01g25484	OsNiR|PSR1	nitrogen
LOC_Os01g26160	CRD1	crown; crown root; cytoplasm; root; stem
LOC_Os01g26920	PHD1	biomass; chloroplast; grain; growth; starch; starch biosynthesis; yield
LOC_Os01g27140	OsGrx_C7	arsenic accumulation; biomass; growth; homeostasis; plant growth; root; salt; salt stress; salt tolerance; shoot; stress; stress tolerance; sugar; tolerance
LOC_Os01g27150	OsCUL1-1	ABA; abiotic stress; biotic stress; drought stress
LOC_Os01g27160	OsCUL1-3	ABA; drought; drought stress; salt
LOC_Os01g27490	OsAns	salt; seedling; transcription factor
LOC_Os01g27880	OsSPP	panicle; shoot; vegetative
LOC_Os01g28450	OsPR1b|PR1b	JA; SA; defense; defense response; ja; jasmonate; jasmonic; jasmonic acid; leaf; pathogen; resistance; root; sa; salicylic acid; seedling; seedlings; shoot
LOC_Os01g28474	AL1	vascular bundle
LOC_Os01g28690	APIP12	magnaporthe oryzae; resistance
LOC_Os01g28840	SLAC7	chloroplast
LOC_Os01g29150	CYP734A6	BR catabolism
LOC_Os01g29840	ONAC026|OsNAC26	nucleus
LOC_Os01g31110	OsCAF1	chloroplast; chloroplast development; development; seedling
LOC_Os01g31680	OsTATC	drought
LOC_Os01g31870	OsNramp6	growth; immunity; plant growth; resistance
LOC_Os01g32170	OsSOAR1	salt tolerance
LOC_Os01g32660	OsMEK1|OsMKK6	anther; chilling; cold stress; root; salt; salt stress; seedling; shoot; temperature
LOC_Os01g32730	OXP|OsFLU1	transcription factor
LOC_Os01g32830	OsPLGG1	chloroplast; grain; grain weight; growth; photosystem; plant growth; seed; tiller; tiller number
LOC_Os01g33040	DBS1|OsNACK	dwarf; growth; root; shoot
LOC_Os01g33300	OsPG2	biotic stress; cell wall
LOC_Os01g33350	OsFl3	grain; grain length; grain weight; grain width
LOC_Os01g34010	ESA1	mitosis
LOC_Os01g34060	OsMYBS1	seed
LOC_Os01g34350	OsRDR6|shl-2	ABA; defense; disease; dwarf; insect; spikelet; temperature
LOC_Os01g34620	OsGRXS15	disease; disease resistance; nucleus; pathogen; resistance; transcription factor; xoo
LOC_Os01g34850	HKT3|OsHKT2;3	transporter
LOC_Os01g34880|LOC_Os01g34890	SEM1	callose biosynthesis; map-based cloning; phloem; photosynthesis; plasma membrane; starch accumulation; sucrose transport; sugar
LOC_Os01g35050	OsOSCA1.1	calcium signaling; drought; drought stress; salt; salt stress; stress
LOC_Os01g36670	ZBED	disease; disease resistance; drought; drought tolerance; immunity; magnaporthe oryzae; pathogen; resistance; stress; tolerance; transcriptional regulator
LOC_Os01g36720	OsNRT2.4	growth; nitrate; nitrate transporter; root; transporter
LOC_Os01g36890	OsAIP1|OsBAT1	abiotic stress; abscisic acid; biotic stress; helicase; salt; salt stress; seedlings; stress
LOC_Os01g36930	OsUBP6	growth; seedling
